NAME,DRIVE_DISTANCE,FWY_%,SG_P,SG_OTT,SG_APR,SG_ARG,GIR_Fairway_%,GIR_NotFairway_%,Sand_Save_Pct,avoid_three_putt
Peter Uihlein,297.3,50.83,0.268,-0.43,-0.145,0.151,79.96,54.97,54.62,3.06
Chesson Hadley,297.3,58.65,0.189,-0.354,0.225,-0.244,74.77,51.58,51.75,2.78
Kelly Kraft,288.1,60.35,-0.076,-0.385,-0.174,-0.252,71.03,45.93,48.87,2.5
Ben Crane,279.4,65.39,0.297,-0.668,-0.324,-0.121,74.3,45.67,57.75,2.2
JosÃ© de JesÃºs RodrÃ­guez,287.8,60.23,0.139,-0.191,-0.421,0.015,73.16,51.48,51.79,2.53
Tom Hoge,288.7,61.54,-0.149,-0.266,0.368,-0.178,77.01,48.05,49.63,2.95
Scott Stallings,295.1,56.92,-0.426,-0.009,0.277,0.004,79.78,50.74,50.85,3.27
Chris Kirk,283.2,62.1,-0.541,-0.18,0.19,0.27,76.92,51.68,58.82,3.46
Joey Garber,292.3,63.27,-0.077,0.224,-0.502,-0.208,77.32,50.0,52.33,2.89
J.B. Holmes,305.7,55.4,-0.604,0.229,0.309,-0.12,78.64,53.94,55.56,4.04
David Hearn,278.6,68.83,-0.097,-0.197,-0.113,-0.286,74.81,51.69,50.0,2.44
Ernie Els,284.6,59.14,0.01,-0.463,-0.355,0.282,80.11,48.25,65.75,2.96
Brandon Harkins,303.0,56.42,-0.568,0.027,-0.063,0.027,78.14,53.83,50.0,3.83
FabiÃ¡n GÃ³mez,289.0,67.54,-0.224,0.036,-0.335,0.161,77.6,49.15,45.33,3.1
Branden Grace,296.8,57.11,-0.579,0.111,0.172,0.033,78.25,51.64,47.96,3.67
Andrew Landry,285.4,71.54,-0.418,0.239,0.13,-0.369,74.07,53.44,43.62,3.14
Stewart Cink,294.9,58.14,0.375,-0.604,-0.206,0.096,79.0,56.02,56.41,3.9
Tyler Duncan,286.4,69.09,-0.643,0.123,-0.262,-0.235,76.85,48.57,43.62,3.12
Chris Stroud,288.0,57.39,-0.021,-0.573,-0.225,-0.052,70.62,50.92,49.43,2.42
Brendan Steele,302.7,68.5,-0.449,0.536,-0.261,-0.203,80.14,53.03,38.71,3.8
Curtis Luck,288.4,56.47,0.515,-0.435,-0.707,-0.212,75.69,54.05,47.42,3.23
Anders Albertson,291.2,60.21,-0.362,-0.273,0.152,-0.128,77.97,51.31,51.22,4.04
Sangmoon Bae,294.2,60.99,0.213,-0.06,-0.484,-0.381,72.06,53.64,51.39,4.4
Hunter Mahan,293.8,65.26,0.072,0.27,-0.55,-0.493,79.74,52.23,45.74,2.72
Ollie Schniederjans,308.7,47.61,0.094,-0.248,-0.335,0.002,76.69,51.68,50.0,1.93
Anirban Lahiri,289.3,59.65,0.053,-0.473,-0.31,-0.199,70.41,49.56,55.88,2.64
Brady Schnell,281.9,67.5,0.116,-0.4,-0.29,-0.128,72.12,50.24,52.38,2.29
Lucas Bjerregaard,309.8,58.04,-0.359,0.158,-0.232,-0.377,79.23,49.47,46.67,3.99
Martin Piller,282.3,58.25,0.565,-0.592,-1.015,0.039,75.43,51.43,50.91,3.24
Seth Reeves,311.4,56.99,-0.32,0.449,-1.065,-0.371,76.31,53.61,40.0,3.43
Freddie Jacobson,283.3,60.27,0.079,-0.636,-0.19,-0.268,72.3,44.96,40.91,2.71
Jim Herman,287.3,69.62,-0.386,0.179,-0.278,-0.428,73.28,47.75,40.85,2.78
Cody Gribble,294.8,54.39,-0.132,-0.339,-0.44,-0.201,72.27,49.32,41.38,2.01
J.J. Henry,286.5,63.74,-0.543,-0.178,-0.245,-0.259,75.26,53.81,40.54,2.78
John Senden,283.4,61.55,-0.26,-0.34,0.04,-0.106,75.39,60.61,53.06,4.5
Seamus Power,293.4,56.56,0.107,-0.218,-0.887,0.126,74.47,46.15,57.84,3.7
Martin Trainer,303.5,50.31,-0.077,-0.006,-1.268,0.058,76.75,48.35,52.69,2.63
Alex Cejka,276.9,66.61,-0.593,-0.077,0.042,-0.31,68.3,49.51,40.79,2.9
Kyle Jones,282.1,68.18,-0.165,-0.113,-0.519,-0.018,73.8,48.22,42.39,3.02
Rod Pampling,286.6,63.49,-0.949,-0.139,-0.46,0.3,72.73,48.29,47.0,3.62
Grayson Murray,310.0,50.5,-0.634,0.063,-0.631,-0.241,77.47,49.6,43.66,3.55
"Ted Potter, Jr.",278.2,62.9,-0.341,-0.273,-0.218,-0.393,73.72,57.05,42.31,3.7
Chris Thompson,290.1,53.31,-0.494,-0.256,-0.196,-0.056,77.52,52.49,48.44,3.75
Whee Kim,283.0,60.36,0.007,-1.214,-0.2,-0.174,76.1,46.18,43.52,3.77
John Chin,297.5,57.4,-0.313,-0.299,-0.966,-0.537,79.6,52.29,41.1,4.55
Satoshi Kodaira,282.4,67.6,-0.463,-0.392,-0.399,-0.467,73.21,46.46,40.0,4.17
Michael Kim,278.0,53.7,-0.169,-1.545,-0.466,0.202,74.15,43.98,49.53,2.93
